#COMPARISON	LABEL	PATTERN	VEHICLE	FIGUR/LITERAL?	DEHUM?	TABOO?	EVAL/FRAME?	CONTRAD?	ABSURD?
Your movements remind me of the ocean.	OTHER	P(Your movements remind me of)	V(the ocean)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are built like a racing driver.	OTHER	P(You are built like)	V(a racing driver)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your movements remind me of a robot.	OTHER	P(Your movements remind me of)	V(a robot)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are built like a fort.	OTHER	P(You are built like)	V(a fort)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
With that hairstyle, you look like you need a new mirror.	ABUSE	P(With that hairstyle, you look like)	V(you need a new mirror)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your sunburn makes you look like an old piece of leather.	ABUSE	P(Your sunburn makes you look like)	V(an old piece of leather)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like a hook.	ABUSE	P(Your nose is like)	V(a hook)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are sweating like a tap.	ABUSE	P(You are sweating like)	V(a tap)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You reacted like your arthritis somehow got worse.	ABUSE	P(You reacted like)	V(your arthritis somehow got worse)	LITERAL	NONE	TABOO	FRAME	NONE	NONE
With that hairstyle, you look like an overgrown hedge.	ABUSE	P(With that hairstyle, you look like)	V(an overgrown hedge)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like you lived in the 50's.	OTHER	P(You dance like)	V(you lived in the 50's)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your approach is like a waste of time.	ABUSE	P(Your approach is like)	V(a waste of time)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your nose is like something that could be used for fishing.	ABUSE	P(Your nose is like)	V(something that could be used for fishing)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cry like someone who really wants to express emotions hard.	OTHER	P(You cry like)	V(someone who really wants to express emotions hard)	LITERAL	NONE	NONE	FRAME	NONE	NONE
With that hairstyle, you look like you got ready in a hurry.	OTHER	P(With that hairstyle, you look like)	V(you got ready in a hurry)	LITERAL	NONE	NONE	EVAL	NONE	NONE
With that hairstyle, you look like a dense leafy tree.	OTHER	P(With that hairstyle, you look like)	V(a dense leafy tree)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cry like you've been wounded.	OTHER	P(You cry like)	V(you've been wounded)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You move like a rainy cloud.	OTHER	P(You move like)	V(a rainy cloud)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are like you learned them from a video.	OTHER	P(Your manners are like)	V(you learned them from a video)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your sunburn makes you look like you have had a chemical peel.	ABUSE	P(Your sunburn makes you look like)	V(you have had a chemical peel)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You laugh like you're a habitual smoker.	OTHER	P(You laugh like)	V(you're a habitual smoker)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your nose is like a button.	OTHER	P(Your nose is like)	V(a button)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your movements remind me of a thriller movie.	OTHER	P(Your movements remind me of)	V(a thriller movie)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are like you don't care if I like you or not. 	OTHER	P(Your manners are like)	V(you don't care if I like you or not)	LITERAL	NONE	NONE	FRAME	NONE	NONE
This dress makes you look like you live in a barn.	ABUSE	P(This dress makes you look like)	V(you live in a barn)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You move like a body builder.	OTHER	P(You move like)	V(a body builder)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your sunburn makes you look like burnt sausages.	ABUSE	P(Your sunburn makes you look like)	V(burnt sausages)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
This dress makes you look like a pile of rags.	ABUSE	P(This dress makes you look like)	V(a pile of rags)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are built like a Tonka truck.	ABUSE	P(You are built like)	V(a Tonka truck)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like someone being electrocuted.	ABUSE	P(You dance like)	V(someone being electrocuted)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You drive like you're about to lose control of your bowels.	ABUSE	P(You drive like)	V(you're about to lose control of your bowels)	FIGUR	NONE	TABOO	FRAME	NONE	NONE
You reacted like a child who had been kept in a cage since birth.	ABUSE	P(You reacted like)	V(a child who had been kept in a cage since birth)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
You remind me of someone in need of a good rest.	OTHER	P(You remind me of)	V(someone in need of a good rest)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your progress is like a sapling.	OTHER	P(Your progress is like)	V(a sapling)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like you are in pain.	OTHER	P(You cry like)	V(you are in pain)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your manners are like someone who acts aloof.	OTHER	P(Your manners are like)	V(someone who acts aloof)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your progress is like an iron without steam.	OTHER	P(Your progress is like)	V(an iron without steam)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like you've never heard music before.	OTHER	P(You dance like)	V(you've never heard music before)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hair looks like it was quick to do.	OTHER	P(Your hair looks like)	V(it was quick to do)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a light breeze could peel your skin.	OTHER	P(Your sunburn makes you look like)	V(a light breeze could peel your skin)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your movements remind me of a muscle twitch.	ABUSE	P(Your movements remind me of)	V(a muscle twitch)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like you have an ocean of tears within you.	OTHER	P(You cry like)	V(you have an ocean of tears within you)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your movements remind me of a tornado. 	OTHER	P(Your movements remind me of)	V(a tornado)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You move like you're depressed.	OTHER	P(You move like)	V(you're depressed)	FIGUR	NONE	TABOO	FRAME	NONE	NONE
Your progress is like a dessert.	OTHER	P(Your progress is like)	V(a dessert)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like something I have never seen before. 	OTHER	P(Your nose is like)	V(something I have never seen before)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like a cold winter's night.	OTHER	P(You look like)	V(a cold winter's night)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like you are working on a different task than me.	OTHER	P(Your input is like)	V(you are working on a different task than me)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are sweating like your parents saw what you did last night.	OTHER	P(You are sweating like)	V(your parents saw what you did last night)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your input is like someone who didn’t study properly for a test.	OTHER	P(Your input is like)	V(someone who didn’t study properly for a test)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are sweating like a fat person.	ABUSE	P(You are sweating like)	V(a fat person)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your movements remind me of a roller coaster.	OTHER	P(Your movements remind me of)	V(a roller coaster)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
This dress makes you look like you couldn’t make it to an art shop and only had time to use things at home.	OTHER	P(This dress makes you look like)	V(you couldn’t make it to an art shop and only had time to use things at home)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your movements remind me of someone who’s taking part in a rally race.	OTHER	P(Your movements remind me of)	V(someone who’s taking part in a rally race)	FIGUR	NONE	NONE	EVAL	NONE	NONE
With that hairstyle, you look like you got caught in the wind.	OTHER	P(With that hairstyle, you look like)	V(you got caught in the wind)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like a river after a storm.	OTHER	P(You cry like)	V(a river after a storm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like you will get the first prize.	OTHER	P(You drive like)	V(you will get the first prize)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your manners are like a storm.	OTHER	P(Your manners are like)	V(a storm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like you have changed it. 	OTHER	P(Your hair looks like)	V(you have changed it)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your nose is like a melted mannequin. 	ABUSE	P(Your nose is like)	V(a melted mannequin)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
You move like you're holding the whole world on your shoulders.	OTHER	P(You move like)	V(you're holding the whole world on your shoulders)	FIGUR	NONE	NONE	FRAME	NONE	ABSURD
This dress makes you look like squat.	ABUSE	P(This dress makes you look like)	V(squat)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hair looks like it is perfect for Halloween.	ABUSE	P(Your hair looks like)	V(it is perfect for Halloween)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You laugh like a loud clown.	ABUSE	P(You laugh like)	V(a loud clown)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your progress is like it's stalled a bit.	OTHER	P(Your progress is like)	V(it's stalled a bit)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You are built like a brick outhouse.	OTHER	P(You are built like)	V(a brick outhouse)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your approach is like an autistic kid let out of the house for the first time.	ABUSE	P(Your approach is like)	V(an autistic kid let out of the house for the first time)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You reacted like it was your first time experiencing a fun time.	OTHER	P(You reacted like)	V(it was your first time experiencing a fun time)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You are sweating like a block of ice in the hot sun.	OTHER	P(You are sweating like)	V(a block of ice in the hot sun)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are built like a shack.	ABUSE	P(You are built like)	V(a shack)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like a dollar store witches nose.	ABUSE	P(Your nose is like)	V(a dollar store witches nose)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You behave like no one is around. 	OTHER	P(You behave like)	V(no one is around)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your approach is like typing whilst wearing boxing gloves.	OTHER	P(Your approach is like)	V(typing whilst wearing boxing gloves)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your progress is like watching the phases of the moon.	OTHER	P(Your progress is like)	V(watching the phases of the moon)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You laugh like there's no one listening or watching. 	OTHER	P(You laugh like)	V(there's no one listening or watching)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You move like you have the weight of the world on your shoulders. 	OTHER	P(You move like)	V(you have the weight of the world on your shoulders)	FIGUR	NONE	NONE	FRAME	NONE	ABSURD
You drive like you have no sense of danger.	OTHER	P(You drive like)	V(you have no sense of danger)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You dance like your arms and legs are doing something different. 	OTHER	P(You dance like)	V(your arms and legs are doing something different)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like someone forgot your birthday.	OTHER	P(You cry like)	V(someone forgot your birthday)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You behave like you've not seen food in days.	OTHER	P(You behave like)	V(you've not seen food in days)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as thin as someone who has been living off coffee alone.	OTHER	P(You are as thin as)	V(someone who has been living off coffee alone)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your progress is like you're still at the start of the race.	OTHER	P(Your progress is like)	V(you're still at the start of the race)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your approach is like a map that leads to nowhere.	OTHER	P(Your approach is like)	V(a map that leads to nowhere)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like someone in need of a hug.	OTHER	P(You look like)	V(someone in need of a hug)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You behave like a tide crashing crashing onto the shoreline.	OTHER	P(You behave like)	V(a tide crashing crashing onto the shoreline)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like a lost soul.	OTHER	P(You are acting like)	V(a lost soul)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You cry like an overflowing drain.	OTHER	P(You cry like)	V(an overflowing drain)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like shots in the dark.	ABUSE	P(Your conversations are like)	V(shots in the dark)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like sticking my fingers down my throat and puking.	ABUSE	P(You make me feel like)	V(sticking my fingers down my throat and puking)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your attitude is like a hungry toddler's.	OTHER	P(Your attitude is like)	V(a hungry toddler's)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your conversations are like dogs howling. 	ABUSE	P(Your conversations are like)	V(dogs howling)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
Your driving style reminds me of watching paint dry. 	OTHER	P(Your driving style reminds me of)	V(watching paint dry)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as modern as history.	ABUSE	P(You are as modern as)	V(history)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your clothes make a real statement.	OTHER	P(Your clothes make)	V(a real statement)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your responses are like fire. 	OTHER	P(Your responses are like)	V(fire)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of a car crash. 	ABUSE	P(Your driving style reminds me of)	V(a car crash)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You walk like a disabled cat. 	ABUSE	P(You walk like)	V(a disabled cat)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your responses are like you're brain dead. 	ABUSE	P(Your responses are like)	V(you're brain dead)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your attitude is like the steam on my poo.	ABUSE	P(Your attitude is like)	V(the steam on my poo)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as modern as those in the middle ages.	ABUSE	P(You are as modern as)	V(those in the middle ages)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your attitude is like muck.	ABUSE	P(Your attitude is like)	V(muck)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your words are like a child has written them.	ABUSE	P(Your words are like)	V(a child has written them)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice is like a painful cry.	OTHER	P(Your voice is like)	V(a painful cry)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your reaction reminds me of opening champagne.	OTHER	P(Your reaction reminds me of)	V(opening champagne)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You make me feel like dog poo. 	ABUSE	P(You make me feel like)	V(dog poo)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your attitude is like a swamp.	ABUSE	P(Your attitude is like)	V(a swamp)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your room is like a bare canvas.	OTHER	P(Your room is like)	V(a bare canvas)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You make me feel like the spectator of a car crash. 	OTHER	P(You make me feel like)	V(the spectator of a car crash)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You are as modern as the stone age people.	OTHER	P(You are as modern as)	V(the stone age people)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
You cook like you dance. 	OTHER	P(You cook like)	V(you dance)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You walk like your feet aren't attached to your legs.	ABUSE	P(You walk like)	V(your feet aren't attached to your legs)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your words are like a punch to the gut.	OTHER	P(Your words are like)	V(a punch to the gut)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like a cat has been strangled. 	ABUSE	P(Your voice is like)	V(a cat has been strangled)	FIGUR	DEHUM	TABOO	FRAME	NONE	NONE
Your clothes make me want to laugh. 	ABUSE	P(Your clothes make)	V(me want to laugh)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your driving style reminds me of a grand prix on a good day.	OTHER	P(Your driving style reminds me of)	V(a grand prix on a good day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like a refrigerator.	ABUSE	P(You cook like)	V(a refrigerator)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of a glacier.	OTHER	P(Your driving style reminds me of)	V(a glacier)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like a stream. 	OTHER	P(Your voice is like)	V(a stream)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes make you appear twice your size.	ABUSE	P(Your clothes make)	V(you appear twice your size)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes make you fill the room.	ABUSE	P(Your clothes make)	V(you fill the room)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your reaction reminds me of sleeping.	OTHER	P(Your reaction reminds me of)	V(sleeping)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your words are like a baby's. 	OTHER	P(Your words are like)	V(a baby's)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your reaction reminds me of an actor. 	OTHER	P(Your reaction reminds me of)	V(an actor)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your garden is like an overgrown forest.	OTHER	P(Your garden is like)	V(an overgrown forest)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hands are like shrivelled up, old prunes. 	ABUSE	P(Your hands are like)	V(shrivelled up, old prunes)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like a bell.	OTHER	P(Your voice is like)	V(a bell)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your reaction reminds me of nothing. 	OTHER	P(Your reaction reminds me of)	V(nothing)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hands are like buckets.	ABUSE	P(Your hands are like)	V(buckets)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like hiding when you ring the doorbell.	ABUSE	P(You make me feel like)	V(hiding when you ring the doorbell)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your room is like a dark hotel room.	OTHER	P(Your room is like)	V(a dark hotel room)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your manners are as clear as a foggy day.	OTHER	P(Your manners are as)	V(clear as a foggy day)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You cook like you've never turned on an oven before.	ABUSE	P(You cook like)	V(you've never turned on an oven before)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You make me feel like a dustbin.	OTHER	P(You make me feel like)	V(a dustbin)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You walk like a wrestler.	ABUSE	P(You walk like)	V(a wrestler)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your conversations are like a dull day. 	ABUSE	P(Your conversations are like)	V(a dull day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like someone who is just starting to discover food.	OTHER	P(You cook like)	V(someone who is just starting to discover food)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your words are like someone who is just learning to read. 	ABUSE	P(Your words are like)	V(someone who is just learning to read)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your driving style reminds me of a learner. 	OTHER	P(Your driving style reminds me of)	V(a learner)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your room is like a homeless person lives here. 	ABUSE	P(Your room is like)	V(a homeless person lives here)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your manners are as smooth as a crowd of football supporters.	OTHER	P(Your manners are as)	V(smooth as a crowd of football supporters)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your room is like a dirty drug den. 	ABUSE	P(Your room is like)	V(a dirty drug den)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your driving style reminds me of a dodgem.	ABUSE	P(Your driving style reminds me of)	V(a dodgem)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cook like a blind man. 	ABUSE	P(You cook like)	V(a blind man)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You are as modern as an old person. 	ABUSE	P(You are as modern as)	V(an old person)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your reaction reminds me of a deflated balloon. 	OTHER	P(Your reaction reminds me of)	V(a deflated balloon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like pond slime.	OTHER	P(Your attitude is like)	V(pond slime)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like a ghost's.	OTHER	P(Your hands are like)	V(a ghost's)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as thin as a piece of paper.	OTHER	P(You are as thin as)	V(a piece of paper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You walk like you’ve taken a dump in your pants.	ABUSE	P(You walk like)	V(you’ve taken a dump in your pants)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your conversations are like listening to a bad song on repeat. 	ABUSE	P(Your conversations are like)	V(listening to a bad song on repeat)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as thin as a matchstick drawing.	ABUSE	P(You are as thin as)	V(a matchstick drawing)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as thin as a noodle. 	ABUSE	P(You are as thin as)	V(a noodle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You walk like a model. 	OTHER	P(You walk like)	V(a model)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cook like an old person without a brain. 	ABUSE	P(You cook like)	V(an old person without a brain)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your words are like icicles.	OTHER	P(Your words are like)	V(icicles)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You walk like you are treading on broken glass.	OTHER	P(You walk like)	V(you are treading on broken glass)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as thin as papyrus.	ABUSE	P(You are as thin as)	V(papyrus)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are like someone who has just woken from a coma. 	ABUSE	P(Your responses are like)	V(someone who has just woken from a coma)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your hands are like paper.	OTHER	P(Your hands are like)	V(paper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like those of a china doll.	OTHER	P(Your hands are like)	V(those of a china doll)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like you read the instructions backwards. 	ABUSE	P(You cook like)	V(you read the instructions backwards)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your conversations are like you are talking to people in a foreign language.	ABUSE	P(Your conversations are like)	V(you are talking to people in a foreign language)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your reaction reminds me of a jester.	OTHER	P(Your reaction reminds me of)	V(a jester)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hands are like pieces of string.	ABUSE	P(Your hands are like)	V(pieces of string)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of a kangaroo on speed.	OTHER	P(Your driving style reminds me of)	V(a kangaroo on speed)	FIGUR	DEHUM	TABOO	EVAL	NONE	ABSURD
Your words are like stains on a white sheet.	ABUSE	P(Your words are like)	V(stains on a white sheet)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like a wet blanket.	OTHER	P(You make me feel like)	V(a wet blanket)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like a thunder cloud.	OTHER	P(Your attitude is like)	V(a thunder cloud)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are so slow a snail could catch them.	OTHER	P(Your responses are)	V(so slow a snail could catch them)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your words are like I'm being suffocated. 	OTHER	P(Your words are like)	V(I'm being suffocated)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You cook like a hospital canteen on a bad day.	ABUSE	P(You cook like)	V(a hospital canteen on a bad day)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as thin as dirty, old dish water.	ABUSE	P(You are as thin as)	V(dirty, old dish water)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as modern as a Stone Age man's grandma. 	ABUSE	P(You are as modern as)	V(a Stone Age man's grandma)	FIGUR	NONE	NONE	EVAL	CONTRAD	ABSURD
Your room is like a DIY project.	OTHER	P(Your room is like)	V(a DIY project)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as thin as a pencil. 	ABUSE	P(You are as thin as)	V(a pencil)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are like nothing I’ve ever seen.	OTHER	P(Your responses are like)	V(nothing I’ve ever seen)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your manners are like a German racing for a sun lounger.	ABUSE	P(Your manners are like)	V(a German racing for a sun lounger)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes make me smile.	OTHER	P(Your clothes make)	V(me smile)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your conversations are like someone who is in the clouds.	OTHER	P(Your conversations are like)	V(someone who is in the clouds)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your words are like stone. 	OTHER	P(Your words are like)	V(stone)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your words are like a knife. 	OTHER	P(Your words are like)	V(a knife)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as the plague.	ABUSE	P(You are as modern as)	V(the plague)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your responses are like sandpaper.	OTHER	P(Your responses are like)	V(sandpaper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like a TV soap.	OTHER	P(Your conversations are like)	V(a TV soap)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your garden is like a sewer. 	ABUSE	P(Your garden is like)	V(a sewer)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your reaction reminds me of a mute.	ABUSE	P(Your reaction reminds me of)	V(a mute)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your voice is like a a drone. 	ABUSE	P(Your voice is like)	V(a a drone)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are as good as your golf skills. 	OTHER	P(Your manners are as)	V(good as your golf skills)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your attitude is like a broken umbrella.	OTHER	P(Your attitude is like)	V(a broken umbrella)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as a hermit. 	OTHER	P(You are as modern as)	V(a hermit)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your responses are like stones sinking to the bottom of a pond.	OTHER	P(Your responses are like)	V(stones sinking to the bottom of a pond)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You walk like someone walking through fire.	OTHER	P(You walk like)	V(someone walking through fire)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your room is like the inside of a sewer.	ABUSE	P(Your room is like)	V(the inside of a sewer)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your garden is like a forest.	OTHER	P(Your garden is like)	V(a forest)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hands are like a witches.	ABUSE	P(Your hands are like)	V(a witches)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your garden is like a refugee camp. 	ABUSE	P(Your garden is like)	V(a refugee camp)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your voice is like a foghorn.	ABUSE	P(Your voice is like)	V(a foghorn)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like laughing.	OTHER	P(You make me feel like)	V(laughing)	LITERAL	NONE	NONE	EVAL	NONE	NONE
